,id,url,name,address,sold_count,selling_count,renting_count,house_type,property_costs,property_company,developer,buiding_count,door_count,8月参考均价(元/m^2)
0,4220032269403517,https://hrb.lianjia.com/xiaoqu/4220032269403517/,巴陵街,(南岗革新教堂)巴陵街,90天成交0套,58,18套正在出租,板楼,0.3至0.5元/平米/月,业主自筹物业,哈尔滨房地产开发有限公司,65栋,3005户,7938
1,4220031785778382,https://hrb.lianjia.com/xiaoqu/4220031785778382/,柏林四季,(呼兰区哈尔滨新区)学院路柏林四季,90天成交1套,315,79套正在出租,板楼/塔板结合,1至1.3元/平米/月,哈尔滨市滨才物业管理有限公司,黑龙江省滨才房地产开发有限公司,45栋,4675户,6457
2,4220032877791942,https://hrb.lianjia.com/xiaoqu/4220032877791942/,海富康城,(道里群力新区)安阳路海富康城,90天成交1套,228,25套正在出租,板楼/塔板结合,0.6至0.9元/平米/月,哈尔滨希美物业管理有限公司,上海中海海富房地产有限公司 ,58栋,5314户,9372
3,4220032360709298,https://hrb.lianjia.com/xiaoqu/4220032360709298/,新乐小区,(道外船舶军工)延平头道街新乐小区,90天成交0套,139,21套正在出租,板楼,0.3元/平米/月,业主自筹物业,上海富盛经济开发区开发有限公司,35栋,4297户,7387
4,4220031918942207,https://hrb.lianjia.com/xiaoqu/4220031918942207/,东方红小区,(道外玛克威)南十四道街77号,90天成交0套,77,2套正在出租,板楼,0.4至1元/平米/月,哈尔滨东方物业管理有限公司,哈尔滨房地产开发有限公司,11栋,1200户,7598
5,4220031890632546,https://hrb.lianjia.com/xiaoqu/4220031890632546/,滨江新城好民居,(道外玛克威)南十六街道42号,90天成交3套,265,17套正在出租,板楼/塔板结合,0.7元/平米/月,业主自筹物业,哈尔滨好民居建设投资发展有限公司,40栋,8243户,10103
6,4220031753265783,https://hrb.lianjia.com/xiaoqu/4220031753265783/,滨才城四期,(呼兰区哈尔滨新区)学院路塞纳维拉小区,90天成交1套,130,45套正在出租,板楼,1.1至1.4元/平米/月,哈尔滨市滨才物业管理有限公司,黑龙江省滨才房地产开发集团有限公司,49栋,3047户,7903
7,4220031910560820,https://hrb.lianjia.com/xiaoqu/4220031910560820/,永平小区,(道外船舶军工)东直路32号,90天成交1套,163,18套正在出租,板楼,0.5至1.2元/平米/月,北京世邦魏理仕物业管理服务有限公司,哈尔滨市润达房地产综合开发集团有限公司,25栋,3774户,7734
8,4220031932645426,https://hrb.lianjia.com/xiaoqu/4220031932645426/,保障华庭小区,(道外南十四道街商圈)南十四道街108号,90天成交1套,181,11套正在出租,塔楼/板楼/塔板结合,0.5至1.2元/平米/月,哈尔滨腾飞物业管理有限责任公司,哈尔滨铁房地产开发有限公司,47栋,4767户,7902
9,4220032267308496,https://hrb.lianjia.com/xiaoqu/4220032267308496/,宣西小区,"(南岗宣西宣庆体院)平公街44-8号, 大成街宣西小区",90天成交3套,304,19套正在出租,塔楼/板楼,0.25至20元/平米/月,黑龙江省好管家物业管理有限公司黑建职院分公司,徐州黑胡子置业有限公司,92栋,9145户,7321
10,4220031921106054,https://hrb.lianjia.com/xiaoqu/4220031921106054/,新华小区(道里区),"(道里顾乡大街)顾乡大街28号, 顾乡大街60号, 顾乡大街78号, 顾乡南三道街65号, 康安三道街36号",90天成交4套,93,11套正在出租,板楼/塔板结合,0.4至0.8元/平米/月,暂无信息,哈尔滨市城建房地产综合开发有限公司,22栋,2722户,7239
11,4220032856818450,https://hrb.lianjia.com/xiaoqu/4220032856818450/,新天地家园,(道里顾乡大街)新亭街14号,90天成交0套,108,6套正在出租,板楼,0.8元/平米/月,黑龙江宏大物业管理有限公司,黑龙江省宏大房地产开发有限公司,25栋,2289户,9428
12,4220032967967449,https://hrb.lianjia.com/xiaoqu/4220032967967449/,太古小区,"(道外南十四道街商圈)南勋街114号, 太古街660号, 太古街632号, 维新街81号, 南五道街, 维新街71号, 维新街34号, 草市街27号, 德胜街154号, 维新街8号, 维新街36号, 维新街-8号, 维新街-14号, 维新街-16号, 维新街-30号, 维新街56号, 维新街6号, 东莱街107号, 德胜街103号, 水晶街, 太古街649号, 太古街627号, 太古街609号, 南勋街340号, 南勋街310号, 南勋街282号",90天成交2套,266,7套正在出租,板楼,0.5元/平米/月,业主自筹物业,哈尔滨海升龙房地产开发集团有限责任公司,41栋,8766户,7081
13,4220031972534039,https://hrb.lianjia.com/xiaoqu/4220031972534039/,安德街,"(道里安字片)安德街110号, 安静街57号",90天成交0套,39,1套正在出租,板楼,0.5元/平米/月,业主自筹物业,哈尔滨房地产开发有限公司,28栋,1815户,7668
14,4220032606197876,https://hrb.lianjia.com/xiaoqu/4220032606197876/,红旗小区（淮河路）,(道外先锋路商圈)海河东路227号,90天成交5套,392,16套正在出租,板楼/塔板结合/平房,0.3至0.6元/平米/月,哈尔滨香坊物业供热有限责任公司,哈尔滨房地产开发有限公司,89栋,11140户,7232
15,4220032309320792,https://hrb.lianjia.com/xiaoqu/4220032309320792/,中兴家园,(道里爱建)爱建路62号,90天成交1套,61,55套正在出租,板楼/塔板结合,0.5至1.6元/平米/月,业主自筹物业,哈尔滨城建开发投资有限公司,20栋,4619户,11569
16,4220031929428383,https://hrb.lianjia.com/xiaoqu/4220031929428383/,滨江凤凰城,(道外玛克威)十八道街153号,90天成交0套,285,15套正在出租,塔楼/板楼/塔板结合,0.5元/平米/月,哈尔滨光泰物业管理有限公司,哈尔滨房地产开发有限公司,42栋,6942户,9106
17,4220033031985301,https://hrb.lianjia.com/xiaoqu/4220033031985301/,迎宾小区,(道里工农大街)城乡路241号,90天成交4套,159,3套正在出租,板楼/塔板结合,0.3至0.5元/平米/月,业主自筹物业,哈尔滨城建开发投资有限公司,63栋,11510户,7680
18,4220032214842147,https://hrb.lianjia.com/xiaoqu/4220032214842147/,分部街,(南岗儿童公园)分部街126号,90天成交0套,43,5套正在出租,板楼/塔板结合/平房,0.2至0.8元/平米/月,业主自筹物业,哈尔滨房地产开发有限公司,70栋,2277户,7419
19,4220032948049575,https://hrb.lianjia.com/xiaoqu/4220032948049575/,青年城邦小区,(道外靖宇公园)道外区振江二道街,90天成交0套,99,19套正在出租,板楼/塔板结合,1.4至1.6元/平米/月,浙江翔宇物业管理服务有限公司,哈尔滨大鹏房地产开发有限公司,15栋,2825户,11558
20,4220031858128236,https://hrb.lianjia.com/xiaoqu/4220031858128236/,沃华水岸,(道外太平商圈)太平大街25号,90天成交1套,81,23套正在出租,板楼/塔板结合,0.6至0.7元/平米/月,黑龙江省大山物业有限责任公司,黑龙江沃华房地产开发有限公司,14栋,1604户,8144
